,avrB_RI-1,avrB_RI-2,avrB_RI-3,avrB_RI-4,avrB_RI-5,avrB_RI-6,avrB_RII-1,avrB_RII-2,avrB_RII-3,avrB_RII-4,avrB_RII-5,avrB_RII-6,avrB_RIII-1,avrB_RIII-2,avrB_RIII-3,avrB_RIII-4,avrB_RIII-5,avrB_RIII-6,avrB_RIV-1_,avrB_RIV-2,avrB_RIV-3,avrB_RIV-4,avrB_RIV-5,avrB_RIV-6,avrB_RV-1,avrB_RV-2,avrB_RV-3,avrB_RV-4,avrB_RV-5,avrB_RV-6,avrB_RVI-1,avrB_RVI-2_,avrB_RVI-3,avrB_RVI-4,avrB_RVI-5,avrB_RVI-6,control_1,control_2,control_3,control_4,control_6,C_RI-1,C_RI-2,C_RI-3,C_RI-4,C_RI-5,C_RI-6,C_RII-1,C_RII-2,C_RII-3,C_RII-4,C_RII-5,C_RII-6,C_RIII-1,C_RIII-2,C_RIII-3,C_RIII-4,C_RIII-5,C_RIII-6,C_RIV-1,C_RIV-2,C_RIV-3,C_RIV-4,C_RIV-5,C_RIV-6,C_RV-1,C_RV-2,C_RV-3,C_RV-4,C_RV-5,C_RV-6,C_RVI-1_,C_RVI-2_,C_RVI-3_,C_RVI-4,C_RVI-5_,C_RVI-6,EV_RI-1,EV_RI-2,EV_RI-3,EV_RI-4,EV_RI-5,EV_RI-6,EV_RII-1,EV_RII-2,EV_RII-3,EV_RII-4,EV_RII-5,EV_RII-6,EV_RIII-1,EV_RIII-2,EV_RIII-3,EV_RIII-4,EV_RIII-5,EV_RIII-6,EV_RIV-1,EV_RIV-2,EV_RIV-4,EV_RIV-5,EV_RIV-6,EV_RV-1,EV_RV-2,EV_RV-3,EV_RV-4,EV_RV-5,EV_RV-6,EV_RVI-1,EV_RVI-2,EV_RVI-3,EV_RVI-4,EV_RVI-5,EV_RVI-6
Acetobacteraceae,6.163946346038152e-05,0.0009093370936571546,0.005283371352629141,0.006437229416189866,0.0008977848363894634,0.0001708267045332944,7.435849712370842e-05,0.0005921432124600184,0.0006438519147428644,7.374424017029812e-05,0.00019298818250989536,0.00025806639208709125,0.0003041337847193992,5.024917082349011e-05,0.0032180568991393033,0.00011466849921695738,0.00014435934884217622,5.422436400280999e-05,0.0007848770804776572,0.0001205842692095123,0.00015326438506576656,0.0004807485782391355,0.0005955032891360891,0.004042281551727794,0.0011789592275069647,0.00179755176525804,7.884892553754592e-05,0.0011376363864206345,0.0016628090015589874,0.00046578860878581984,0.004949042132977208,0.00014366787467966717,0.007573000918345179,0.0038684514598761135,0.0006891241052433796,0.0005615112919870301,0.006041912758084455,0.0,0.0,0.0,0.0,5.568799399711438e-05,0.000732372799943038,0.00025825746988465404,0.0006604020547338772,0.0008285563911880036,7.479480997763038e-05,0.00017518584351897904,0.00034510264221981505,0.0001211488821204811,0.0002746907612739815,0.0004470409814975825,0.00016171956480968343,0.00012756345872016672,0.00011937410988878424,0.0001929407315410705,0.00021371857375526322,0.0016110340252810755,0.0008052890222997563,4.439638546476518e-05,5.573924322167687e-05,0.0007854139150976347,0.00019161261161818947,0.0,0.000422456932522436,0.018203055420330773,0.0014353859021155114,0.00019070911999907725,0.0008317159082679171,0.0022860280757034316,0.000993145191309134,0.011202311116085951,0.0010259465648277712,0.0036166078872308344,0.0029505221341905572,0.00013697504590152752,0.0021623702371598038,0.0,4.221855175683654e-05,0.002143691218878153,0.00029549894469768113,0.00033780054283776933,0.0002644390616698365,0.0021354661969842435,5.867823806177095e-05,0.0004111628054537953,0.0003692747574926389,0.0005646000520208792,0.0005810320141712777,0.0015006351354823234,0.00048178875264944844,0.00020777058840957874,0.0005913727388033868,0.0002393457066407506,0.0014187152093721172,0.0006463127226115813,0.004822305612958801,0.0,0.0008844362399729956,0.0,0.0029934199821660167,0.0012807437608409143,0.005132908210389522,0.004229078434920036,0.0066746030852912145,0.0002992048372296321,0.006048156581238973,0.000284182858311937,0.00036283965225709664,0.0009192408931023844,0.0012387369644918861,0.0027492392349620647
Alcaligenaceae,0.0005151192189681438,0.0038180077434399997,0.00925338016184719,0.00959514672142202,0.0042145144528846394,0.000898855383612575,0.00027618302959166944,0.001570959921915986,0.0019928340326531564,0.0007532292642498263,0.0008959981539214498,0.0008386985437367012,0.0009413471371137898,0.00018663594302359803,0.006709207207891509,0.0009582813418688167,0.0001340452129054693,0.0008559527324498765,0.01248676406651204,0.00011196880679276853,0.0015654540575941326,0.01450800724947764,0.013178784184546329,0.04239213224402425,0.01773455089118725,0.0052729047230696754,0.002782183500002571,0.0015090784891001478,0.0024017858812586464,0.0021625455411931026,0.09434729349321756,0.0008893542863033397,0.7557254186721598,0.048090709738977284,0.0026195407171395874,0.0013034815771702248,0.0,0.013576255731855098,0.0,0.0,0.11078624707370989,0.0005170921780606421,0.002380162700834385,0.0008633000919300896,0.0006898701163624766,0.0012671778590145311,0.0005208817254348688,0.00016266922704257173,0.001068152900420951,0.0006374607834890111,0.007609431781810095,0.00773125528361702,0.0028281090494920226,0.001302942845909939,0.00022169022101834178,0.0015228223456424414,0.0007276459092237758,0.005651288970551236,0.008065050383874148,0.0005771411540314916,0.00025878402697035815,0.0042947545248612,0.0010675340471844434,0.0010722707023013759,0.0039227337832668865,0.06488375164661941,0.004613645615142129,0.0008263892090040429,0.002402685484410075,0.0047352465883678,0.0018443746066022925,0.26736818668625156,0.006350967305545437,0.0085154604630401,0.19427064805415592,0.0003815655031253997,0.005853463098057759,0.0005176900304970835,0.0008624469817319604,0.006745683384596285,0.002652400321184506,0.001568327442851511,0.0012686518155295336,0.0032103968303116557,0.00032691489579273695,0.001636226528884002,0.00045718792615533034,0.0014978877321782525,0.004585908468608205,0.0006967091422983294,0.0028759247965033192,0.0007073948513542502,0.002580866573459384,0.0014445926225279823,0.004046150558194962,0.037808517520011874,0.40349621896904936,0.0009076956444349633,0.0059540287936686465,0.0005676990254315156,0.6124813929608387,0.0027748878067900143,0.03217167444283256,0.01001364785558498,0.008196982391719534,0.0011113094213978502,0.028671311149519794,0.0031665439379188177,0.0010949757406719628,0.0025606898801275864,0.0010224285528267912,0.004595062604269692
Anaplasmataceae,0.0,0.0,3.204231294231743e-05,0.0,1.8603197517589325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2646739548907143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.868812525128302e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.534299900296099e-05,0.0,4.153812923342767e-05,4.3070526551543936e-05,8.032214535095423e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010950663610214781,0.0,2.3710354311727935e-05,3.446833738527788e-05,3.279412504181251e-05,0.0,0.0,0.0,0.0,0.00010004468662669325,0.0,2.7339834138339564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1908044633989604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77967993670296e-05,0.0,0.0,0.0,8.24696923880474e-05,0.0,0.0,0.0,0.0,0.0,0.00016061332876477643,0.0,0.00011872912346245785,0.0,0.0,0.0,0.0,0.0
Plectosphaerellaceae,4.59808168032297e-06,5.898545025560361e-06,6.408462588463485e-06,6.31834341460127e-05,1.8603197517589325e-05,0.0,2.7734378611247214e-06,0.0,0.0,0.0,0.0,0.0,1.5124855683668686e-05,0.0,2.717608745868857e-05,0.0,0.0,1.2134826006819773e-05,0.0,0.0,0.0,0.0,1.4807465924319043e-05,1.7737625050256605e-05,1.7589221325171935e-05,9.142559937099188e-06,2.940922743920132e-05,0.0,0.0,0.0,9.794589870384927e-05,0.0,4.153812923342767e-05,2.1535263275771968e-05,8.032214535095423e-06,1.0471679343216272e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.829046209879354e-06,0.0,6.157951454816031e-06,3.6357246302165075e-06,0.0,0.0,8.581137515589066e-06,0.0,0.0,0.0,4.02123210551713e-06,0.0,0.0,1.4392682760084774e-05,0.0,2.0029554720743496e-05,2.145416318036515e-06,0.0,0.0,0.0,0.0,1.2306026261060042e-05,0.0,0.0003066185810860138,2.4709525796744933e-05,4.742070862345587e-06,6.893667477055577e-06,3.279412504181251e-05,0.0,0.0,8.503545978673106e-06,1.9270421829533848e-05,2.0008937325338652e-05,0.0,2.187186731067165e-05,0.0,3.14935170595133e-06,2.2209949168829668e-05,2.4492395111317937e-06,0.0,0.0,3.034249086564598e-05,0.0,4.38160892679792e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.411427361437067e-06,8.927163274840575e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.3135196196047182e-05,1.5923144290225845e-05,6.381607356716961e-05,3.15473999684526e-05,1.606133287647764e-05,0.0,0.0,0.0,1.3533264764791858e-05,1.371441110318723e-05,0.0,0.0
Moraxellaceae,0.0013555787539775172,0.0013809495653799128,0.001944872127304017,0.002191454070642586,0.0012259431860269917,0.0012522770223125463,0.0009619391178375182,0.0007660264010979471,0.02619068757984801,0.0011447913351502685,0.0016976830445469319,0.009180812679963355,0.0005245904564044513,0.008450632866567736,0.0010211232946520212,0.004153547124972217,0.0013072538719021008,0.0013328002029953897,0.00636290185048176,0.0007799695396983514,0.006741198981075501,0.001243841339298794,0.000513582110791269,0.11012290191263983,0.05307561220487271,0.016224976903999825,0.02223664463393932,0.002312677641299931,0.00023901042262427846,0.010846218540966271,0.02103623091928003,0.0005575680815644939,0.010517171098223489,0.004556267004731553,0.03565943151193831,0.0005447995499134331,0.031264495402018706,0.047285785377709395,0.03383870658854042,0.004590765367513026,0.0,0.0002881632194938242,0.005921465538206607,0.002405483436366294,0.0011747030500446774,0.00037830439172763507,0.0005321709148445346,0.0011331463268542713,0.008184774178864025,0.005276385431606955,0.12520300944324567,0.612001656248824,0.0050558746526386455,0.0008251127019514196,0.04147946411731382,0.003431970936409024,0.0005529543071899502,0.0009262733672562759,0.027457885627418587,0.005800774321202549,0.0008652852415409336,0.01941786651161586,0.0002478797631962572,0.001067055459541544,0.001776162860091711,0.010634758093439318,0.001285537695666908,0.004687508254309271,0.00047819989079220417,0.003867266590952823,0.000999275540219354,0.12130237031580851,0.013714568978887232,0.008688878408043246,0.11763129343195707,0.0,0.0010904929490838558,0.0008242753956910868,0.00065539263978051,0.0017717585882611752,0.0005946459192090307,0.0024034772462249855,0.0005131376121304617,0.0014470484554547347,0.0007590913579586451,0.006154854375348109,0.0007165687477609221,0.001982501192125264,0.23451554666554705,0.0017471677411907236,0.006143624876930721,0.005106868240896433,0.0024480949677346204,0.005728149607625226,0.0011143024798701997,0.0693965339344487,0.12684702703304201,0.004426076172272854,0.008295097948383947,0.0015818260825893487,0.007061507232147869,0.0038659480749532417,0.009406935272607537,0.01531865917370136,0.001114142457998185,0.0015482660264021025,0.00741240111396649,0.002941066520742997,0.004341836419123586,0.0011891765003264772,0.0008902737630297178,0.003556554888413014
Nannocystaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000003492686099e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.353260027520689e-05,3.0428655741312287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.201836903980003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8961504362059376e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2072325830403352e-05,0.0,0.0,1.9614291856058204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trichosporonaceae,0.0,4.004069508864269e-05,0.0001118626304534128,0.0,3.608080860850328e-05,0.0,5.379068870295206e-06,1.2238697830135694e-05,0.0,0.0,1.6752840872726705e-05,0.0,0.0,0.0,7.027718107046151e-05,1.6590161942494193e-05,1.0442907126016289e-05,0.0,1.514073229526292e-05,0.0,0.0,1.7388595867817107e-05,2.871900615403033e-05,6.880407026830666e-05,3.411420685105812e-05,2.364259907257718e-05,1.1407809926809493e-05,0.0,2.673045518524215e-05,6.738998507432342e-05,0.00014612737000970974,1.3857181487771476e-05,0.00016112598808990018,6.682805678773835e-05,6.231375978655323e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.655612624149107e-05,7.472903678871248e-06,0.0,7.051469749328447e-06,0.0,0.0,0.0,5.842579805427203e-06,6.623679337629928e-06,8.084698858690218e-06,0.0,0.0,0.0,0.0,1.0306886875154327e-05,1.294907375841157e-05,2.9127169583837398e-05,1.2846478842079908e-05,0.0,6.3129533938351535e-06,0.0,0.0,0.0,0.00012743254405035018,3.1949334524751374e-05,9.19722273713851e-06,0.0,0.0,0.0,0.00018008254404380122,0.0,5.606233024020216e-05,0.00011642170181967188,0.0,1.0605094333928045e-05,1.1523167213221467e-05,6.108151893557814e-06,8.615217081982284e-06,1.425086337238145e-05,0.0,0.0,0.0,0.0,1.6996217229390727e-05,0.0,5.8347113385421075e-06,1.4010554009601945e-05,0.0,9.957839315827196e-06,0.0,1.711188263929706e-05,0.0,2.9322681387140628e-05,0.0,0.0,0.0,0.0,0.0,2.5475647373878567e-05,3.0882858768661245e-05,0.00012377095573737603,0.0,6.230174968208862e-05,0.0,0.00013816472493571899,0.0,1.3123849686726621e-05,1.329951589571018e-05,0.0,0.0
Schizophyllaceae,0.0,7.663299031429746e-06,6.660620873020875e-05,6.566955716643644e-05,9.667595306996587e-06,0.0,0.0,0.0,0.0,7.146885279884788e-06,0.0,0.0,0.0,0.0,1.1768918368725666e-05,0.0,1.3990512382680253e-05,1.0510252950138457e-05,3.0426384162509925e-05,0.0,0.0,0.0,0.0,9.217779929014425e-05,0.0,7.918582227442856e-06,6.113282598968198e-05,3.150098512370013e-05,0.0,0.0,9.78844662170825e-05,0.0,0.00015110395726389,6.714787927707849e-05,4.1741318647430435e-06,5.441857937547141e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.446955110641571e-06,0.0,0.0,0.0,0.0,8.87383816343157e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5372662486205553e-05,0.0,0.0,0.0,0.00011381547072917315,2.1401490738788297e-05,0.0,1.7912293649025784e-05,1.7042249272014892e-05,0.0,0.00016083944390495725,2.2095352457157262e-05,0.00010014334335100223,5.199060763654658e-05,0.0,4.972728918563053e-05,0.0,0.0,2.308385965909309e-05,0.0,0.0,3.417063502921818e-05,3.942049774211583e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3423986799676828e-05,1.1462517240990893e-05,0.0,1.9642008307157804e-05,0.0,0.0,0.0,0.0,3.950110102296221e-05,3.413008999698039e-05,0.0,8.29088618697933e-05,0.0001229576913839372,4.173327359286844e-05,5.799456722121209e-05,6.170042089292484e-05,0.0,0.0,3.5635104205617144e-05,1.333906207715217e-05,0.00010657644515074088
Rhizobiaceae,0.0006925032131231349,0.0073289871194691875,0.026582093551124193,0.06756265174268951,0.01312162970422194,0.001652638625933894,0.0011138642960289594,0.0035638788005267234,0.002277215316404205,0.0005868521877096304,0.009503819015122079,0.0016912631532447573,0.0030372118598318244,0.00028226813066280383,0.027286057090276657,0.0011809146508749897,0.0007433430767937051,0.0018783559199979534,0.004457932389396566,0.0002257887755446499,0.0015066495393110102,0.004163335774299185,0.013194804368137837,0.21816516703006633,0.018322662033526504,0.012277655938717179,0.0014025910961272293,0.0033474169584914123,0.005275715818249425,0.0034886752751361327,0.038296738676299145,0.0022866004548871568,0.06443610327085311,0.11822051017140152,0.005867081881032953,0.0024970877318451334,0.005656608828574602,0.006844241369495805,0.0,0.0016611919414577841,0.11170205252011109,0.0005213666782397511,0.00561390703315911,0.001595800234418312,0.012288454058415792,0.0031485017427102953,0.0005602000550370869,0.0011480974322830922,0.0022616636678394397,0.0009073839542058185,0.007929507751364764,0.0023019279409648057,0.0005046880321311378,0.0004777140059392565,0.0010058526229081036,0.0033417760813213493,0.0030680366355710733,0.013407070325675717,0.00867024393069867,0.0012053892343251809,0.0005740311366997346,0.010457978594353884,0.00538179365017506,0.002625612455072314,0.003955160741110377,0.5206121189360117,0.008993448948946528,0.0034519134493799135,0.0065754849514282915,0.02403658472611556,0.004958989275660447,0.13595450630183745,0.0046958758418819534,0.03385970126269822,0.05248487593367893,0.0005129595775140858,0.026729891637982124,0.00014913413507841125,0.001343890690484641,0.00797218673343905,0.003627246991105298,0.00229287324532875,0.0017742896110999225,0.062263402785741204,0.0007141708405631515,0.0014297852933880012,0.0005762090409221275,0.002038864363045646,0.0028105557387734766,0.0011239494902643744,0.003286324845980712,0.0006484022481915566,0.003986350614858895,0.004593684876830642,0.009629748131791915,0.0859236557487709,0.014045976878573875,0.0022879975905197676,0.0026911108521233103,0.0020987701642362915,0.038411065116171865,0.00679472074663511,0.059669200303951696,0.10551753820325138,0.047572661705447425,0.005602479848987271,0.05781664039424095,0.004789079871420937,0.0020382041871440156,0.03993273108871325,0.004252381546045828,0.02882784994941604
Glomeraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.307625846685534e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aspergillaceae,1.6476302687201512e-05,7.92609451168935e-05,0.00012629891591626346,0.00043016979047957003,0.00012665556544296303,0.0,4.969028919123722e-06,3.391726983801761e-05,3.824497574730994e-05,2.463990506796983e-05,1.5475791959787334e-05,1.7245364214412253e-05,1.354922104857332e-05,1.3431663771714367e-05,0.00012172506763509774,0.0,2.894057062298795e-05,7.247118843803134e-06,3.4966431201197385e-05,0.0,2.0483877192851112e-05,9.637850469692523e-05,6.63244771302013e-05,0.00019067765620439442,0.00012605488755273986,7.098114457724317e-05,9.484385665499927e-05,6.516248009577791e-05,3.703923709834917e-05,0.0001245058551091768,0.0002834753382826963,3.840259562237402e-05,0.0007144490293738075,0.0003781197356113143,2.878182840794514e-05,0.002288912811981998,0.0,0.0,0.0,0.0,0.0,0.0,3.670577435597728e-05,2.0709759654796578e-05,1.1032891448713376e-05,4.5597612832518616e-05,3.498729959706204e-05,2.341369329233899e-05,0.0,2.158882789233575e-05,5.506887804559969e-05,5.9747295898122264e-05,7.204639016040612e-06,0.0,7.658122340952736e-05,1.9339983561854136e-05,4.760602641807026e-05,2.3923962876452983e-05,4.228217788847863e-05,0.00032041459464265536,2.2348750086042906e-05,2.3326898194055333e-05,0.0,2.2048087403662022e-05,1.4115405743716782e-05,0.0012164246494863053,0.00014756937587930054,5.097677705021322e-05,2.4702073576236786e-05,2.350223280561146e-05,7.374136211574471e-05,0.0004436135154045279,0.0008988871256316417,0.0001898921428285007,0.00017924502582910163,7.32271888874394e-05,0.0014352137293514931,1.0644770034196156e-05,3.3855208921863154e-05,0.0002467131727761328,5.704632784691454e-05,1.1286811401419398e-05,4.123284614077556e-05,0.00010872622509631342,7.842381789053155e-06,3.1401232058929364e-05,3.290252887585185e-05,2.155975323986783e-05,9.059782428475455e-05,0.0,0.0,3.702488537866099e-05,3.951866101067962e-05,9.596609269716872e-05,0.0001963840026990458,0.0002591402516469555,0.00014322312086885805,6.532430198377436e-05,2.9551358779046866e-05,0.0,0.000211803024701798,0.0003138156514253673,0.00022867208925430658,0.00011304377499399419,0.0005179730600452121,3.998890635087112e-05,0.0005105303764372023,0.00026586846887057696,9.69874752616781e-05,8.599996854985776e-05,5.518597997399242e-05,0.0001469749905395589
Tremellaceae,0.0,0.0,1.2259017299621209e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.664379890735486e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.589200647853303e-05,8.239141959721846e-06,0.0,2.0031715322122738e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82033332219161e-06,0.0
Pleurotaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxalobacteraceae,0.0,0.0012583635910590851,0.0038636752790047056,0.004219579100688283,0.0015874820880046603,0.00019699524967576023,5.144958130434788e-05,0.00040971135151635345,0.00044548925431363,0.00010204913835353455,0.000347180484871634,0.0005579980909711645,0.00014028933244205935,0.00024337624210191944,0.007183981424984269,0.00015868115956392458,0.00014982607924972783,0.0001500740833854009,0.001122337110590019,8.343377559660353e-05,0.00015906833944041344,0.0001663180000929428,0.0015107995133578167,0.003455000974455163,0.002120915544809423,0.0018373560651597884,0.00016366969595103578,0.0005622463953298774,0.0005752592523284988,0.0012891400351190939,0.0049617475176718315,0.00043075765696349915,0.009477972613821824,0.0084693377270773,0.0006258179202042867,0.0005827751095278327,0.0,0.0050581867692407025,0.0,0.0,0.0,0.00019265612442811588,0.0008234492019284096,0.0002859065571953135,0.0002284702523778932,0.000236060015638282,0.00012937867916713178,0.00016161772401084392,0.000795936225001717,0.0001397073973092535,0.0011403719980144292,0.0006959549006586167,5.594790252643966e-05,0.0003530510591126228,9.911574133306037e-05,0.00020024718569475303,0.00029574914937770616,0.0013624046896133421,0.0009750818413585859,0.00012287367453317288,0.00011570005460998475,0.0007547747034350006,0.0,0.0006848610969727183,0.0007307581896537695,0.02762757404017291,0.0015279409168085193,0.00030789276850608997,0.000767299625459234,0.0016425674686976815,0.0003817609302962583,0.01578911531306776,0.0011831089304473728,0.003574823682134396,0.009279561137491421,0.0,0.0014961712195684426,0.00038575773976973454,0.0003797501245643663,0.0011948378380775525,0.0003634834560474177,0.00023372845290929543,0.00030494786585033107,0.0020404344418017144,0.00016240084976071407,0.00020320623357298324,0.00012775292935017667,0.0003906538916804638,0.0005360311645137294,0.00031149250884957274,0.001047689374190673,0.000575036354661478,0.0006546852017328094,0.000579622088193976,0.0008764526192095312,0.0017887676731667983,0.0007414697843119238,0.0,0.00826135984402068,0.0002820146935025518,0.002436688249301648,0.0007384689578448033,0.0047353651748113755,0.0029261526684420877,0.005214144188042075,0.00041404719555021585,0.007929086710410177,0.001376407908673579,0.00012552666414293847,0.0013356721542860978,9.52330797339755e-05,0.0011413399652951163
Phaeosphaeriaceae,0.0,0.0,2.1146579927719704e-05,0.0,4.910931416530977e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.978358539039721e-06,0.0,0.0,0.0,5.151983891553385e-06,0.0,0.0,0.0,1.9544610419309637e-05,2.3412174179086995e-05,0.0,8.044940442839886e-06,0.0,0.0,0.0,0.0,4.972321296775246e-05,4.715226081215822e-06,1.0965367843000664e-05,1.7054842462043415e-05,4.240739224256583e-06,1.382173656486103e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.506883500179082e-06,0.0,0.0,4.798850921059137e-06,0.0,0.0,1.1326380256682822e-05,0.0,0.0,5.502011062049327e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.781582215037951e-05,0.0,0.0,0.0,8.657097727055244e-06,0.0,0.0,1.1223965949696826e-05,3.815300563907792e-05,0.0,0.0,1.0825884926430352e-05,0.0,0.0,1.1726106442683797e-05,6.465580581216525e-06,0.0,0.0,1.0012384397024772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.977719651708394e-06,0.0,0.0,0.0,2.1770612437844474e-05,0.0,0.0,0.0,0.0,0.0,2.1199609405823528e-05,0.0,3.1342492704153476e-05,0.0,0.0,0.0,0.0,0.0
Campylobacteraceae,8.934522478571256e-05,0.00022922899933361783,0.0005603521351660659,0.0012277159300293804,0.00014459132999353606,0.0,0.0,0.000122614324962168,0.00010369456121129041,0.0,0.0,4.675778818524025e-05,0.0,0.0,0.00044004830195153757,0.0,0.0,0.0,0.00045506573385086413,0.0,0.0,0.0,0.00014386177361491956,0.0006893188105212381,0.0,0.0001184325884121893,0.0,0.0,0.0002678010981200612,0.0,0.00029279763388093805,0.0,0.0006457011861134048,0.0,0.0001248590282745497,0.000203474972792968,0.0,0.0,0.0,0.0,0.0,0.0,0.00013269504787284092,7.486785381986514e-05,0.0,0.0,0.0,0.0,0.00016673989579792854,0.00011706866021580803,0.0,0.00024299151106741234,0.0,0.0003698015931342994,0.0,0.0,0.0,0.00012973128022357214,0.0002501252259361053,0.0,8.079296826175523e-05,0.0,0.0,0.0,0.0,0.0012766926337924125,0.00016004341883892414,9.214307543929599e-05,0.0002679014046102045,0.0,0.0003198988850503999,0.002405560883667502,0.0,0.00018722157301414774,0.00038879322451054147,0.0,0.00021249588820026983,0.0,6.119498426955408e-05,0.0,0.00014277335847201505,0.0,0.0,0.00014739606946038162,0.0,0.000170277894872171,8.920945112021018e-05,5.845549927402007e-05,0.0,0.0,9.976337047765409e-05,0.0,0.00017143669757765294,0.0,0.0002203286350966175,0.0,0.000776648873929667,0.0,0.0,0.0,0.0010209188425359514,0.0006188045384203075,0.0012400087328156932,0.0006129968403232453,0.0,0.0,0.0018456184055640904,0.00041191762437137153,0.0,0.0,0.0,0.0015939879009184731
